post_title,summary,creation_date,category,post_tag,alert-country,enabling-principle,alert-impact,alert-type,respect-and-protection,supportive-legal,accessible-and-sustainable,open-and-responsive-state,supportive-public-culture,access-to-a-secure-digital,affecting-topic,socioeconomic-rights,specific-groups-minority,specific-age-groups,civic-and-political
"CSOs impacted by the USAID freeze and the subsequent delegitimizing remarks and allegations from authorities.","Event Summary
The suspension of USAID funding has affected more than 60 civil society actors in Peru, putting at risk projects projects related to democracy, human rights, governance, the environment, and the fight against drugs. This measure has not only impacted the funding of civil society actors but has also triggered additional threats, as the government seeks to discredit civil society.
Following the suspension, President Dina Boluarte, during a speech on February 6 at the presentation ceremony of the Master&#8217;s Degree in Human Rights at CAEN, accused civil society actors of using international cooperation funds to defend criminals instead of supporting security forces. She also claimed that they were weakening security and democracy. Various organizations rejected these statements, denouncing them as an attempt to delegitimize civil society and calling for greater transparency.
Additionally, Mayor Rafael López Aliaga on February 6 during an interview on Canal N made an allegation against the NGO Manuela Ramos for misuse of USAID funds, followed by a notarised letter sent to the organisation on February 9, demanding that they retract their statements, which he claimed were false.
These attacks on civil society actors have further intensified a hostile climate for civil society in the country. This narrative not only undermines their work and restricts their participation in public policy formulation but could also lead to regulatory limitations and funding restrictions
",2025-03-04,,,Peru,"Accessible and sustainable resources, Civic Culture and Public Discourses on Civil Society",Negative,"Early warning alert",,,,,,,,,,,
"Journalists call for investigation on harassment denounced by journalist Clara Elvira Ospina","Event Summary
On February 11, 2025, Clara Elvira Ospina, journalist and director of the online media outlet EpicentroTv, a platform known for investigative journalism and reporting on cases of corruption and human rights violations, denounced systematic attacks and insults directed at her through social media. In her complaint, she alleged that these attacks included misogynistic and xenophobic insults, as well as unfounded accusations of terrorism—claims she attributes to unidentified state officials and politicians. This comes at a time when the use of fake social media profiles to influence public opinion about political figures and civil society actors has become widespread in Peru. Recently, the program Cuarto Poder exposed an organised digital network that actively supports the Minister of the Interior.
In response to this situation, more than a hundred journalists have signed a petition demanding that the Public Prosecutor&#8217;s Office investigate this case, along with other instances of harassment and cyberbullying. The State has neither responded to the allegations nor the petition.
This case highlights a concerning pattern of attacks against the independent press and civil society, further eroding trust in the State’s ability to safeguard fundamental civic freedoms.
",2025-03-04,,,Peru,"Civic Culture and Public Discourses on Civil Society, Digital Environment Integrity and Security, Respect and protection of fundamental freedoms",Negative,"Context to watch",,,,,,,,,,,
"Fusión del Ministerio de la Mujer y Poblaciones Vulnerables-MIMP y del Ministerio de Desarrollo e Inclusión Social -MIDIS","Event Summary

Desde el 2024, se ha debatido la posible fusión entre el Ministerio de la Mujer y Poblaciones Vulnerables (MIMP) y el Ministerio de Desarrollo e Inclusión Social (MIDIS). La propuesta inicial, impulsada por el Congreso, planteaba el cambio de nombre del Ministerio de la Mujer por el Ministerio de la Familia. Sin embargo, el 28 de julio del mismo año, la presidenta Dina Boluarte anunció la intención de unificar ambos ministerios durante su mensaje a la nación.


Desde que la medida fue anunciada y hasta las primeras semanas de febrero del 2025, diversas organizaciones de la sociedad civil y ex ministros han rechazado esta decisión mediante comunicados y movilizaciones manifestando que sería un potencial retroceso a la protección y garantía de derechos de las mujeres. No obstante, el gobierno se mantiene firme en su decisión y ha confirmado la unión de ambos ministerios a través de las declaraciones del presidente del Consejo de ministros.

",2025-03-10,,,Peru,"State openness and responsiveness to civil society",Negative,,,,,,,,,,,,
"Civil Society Organisations in Burundi collaborate with CENI for the 2025 Legislative Elections","Event Summary
On 12 and 13 February 2025, the Independent National Electoral Commission (CENI) hosted a two-day workshop with leaders of civil society organizations involved in elections at the Royal Palace Hotel in Bujumbura. This event, which included only those organizations that signed collaboration agreements with CENI for the 2025 elections, builds on previous meetings held on 17 May 2024 and 17 January 2025. The objective was to achieve a harmonized understanding of civic education, electoral education, and electoral observation through constructive dialogue. This workshop has significant implications for the enabling environment for civil society in Burundi. It demonstrates a move towards respecting and protecting fundamental civil society freedoms by fostering cooperation between the government and civil society. The event also highlights the supportive legal framework provided by Article 92 of the Constitution of Burundi and Article 4 of Decree No. 100/125 of 31 August 2018, which facilitates such engagements. However, the fact that many of CENI&#8217;s civil society partners are linked to the ruling party, while some independent organizations have been deregistered or suspended, underscores ongoing challenges. This event represents both an opportunity for enhanced cooperation and a reminder of the need for continued efforts to ensure an open and responsive state, supportive public culture, and sustainable resources for civil society actors in Burundi.
",2025-03-10,,,Burundi,"Civic Culture and Public Discourses on Civil Society, State openness and responsiveness to civil society",Positive,"Context to watch",,,,,,,,,,,
"Public discourse of stigmatization and discrediting of organizations and independent journalism in the face of the freezing of funds by USAID.","Event Summary
The recent freezing and dismantling of the United States Agency for International Development (USAID) has not only affected social programmes and funding for civil society actors in El Salvador but has also led to an increase in negative discourse against civil society. On 8 February 2025, the President of the Republic, Nayib Bukele, alleged that USAID funds had been misused by journalists, independent media, and other civil society actors as part of a global money laundering operation. This came a few days after he had also reportedly claimed that most of the funds were channelled to fund opposition groups, civil society organisations with political agendas, and destabilising movements. These statements are part of a broader pattern of stigmatisation and discrediting of civil society, which has also been echoed by state media.
",2025-03-10,,,"El Salvador","Accessible and sustainable resources, Civic Culture and Public Discourses on Civil Society",Negative,"Early warning alert",,,,,,,,,,,
"Recorte de recursos de USAID para la sociedad civil","Event Summary
The Executive Order, issued by US President Donald Trump on 20 January 2025, to halt US foreign development assistance to foreign countries, NGOs and international organisations, has affected the resource base for CSOs in Mexico, with an estimated 100 million USD earmarked for Mexico now frozen. Additionally, Mexican authorities have, besides downplaying the freezing of funding, discredited CSOs as funding opposition or promote hidden interests.
",2025-03-10,,,Mexico,"Accessible and sustainable resources, Civic Culture and Public Discourses on Civil Society",Negative,"Deterioration alert",,,,,,,,,,,
"USAID Funding Freeze Impact on CSOs in Indonesia","Event Summary
On January 20, 2025, President Donald Trump signed an executive order that put almost all international spending on a 90-day pause, during which all foreign aid programs will be reviewed, effectively freezing essential development aid funds. President Trump’s decision has significantly affected numerous civil society organizations in Indonesia. Many of these organizations rely on funding from the U.S. Agency for International Development (USAID) with $153.5 million allocated to Indonesia in 2024. This funding freeze has halted ongoing projects, leaving CSOs in a precarious position. In response to the funding freeze, some CSOs have had to implement unpaid leave for their staff, while others are managing to pay only half of their employees’ salaries until the review process concludes. The ramifications of this aid freeze extend beyond immediate financial concerns; they also threaten the livelihoods of those working within these organizations and jeopardize critical programs in health, education, and environmental conservation.
If the freeze leads to a permanent termination of US development aid in Indonesia, this would have profound implications for the civil society sector as a whole. Numerous projects to improve public services and address societal challenges would face immediate suspension or cancellation and many CSOs would be forced to downsize or close entirely, leading to job losses for staff members and reduced services provided to vulnerable populations. USAID has played a critical role in promoting democratic governance and accountability in Indonesia. The loss of this U.S. support could hinder efforts to combat corruption, promote human rights, and engage citizens in governance processes, potentially leading to democratic backsliding.
",2025-03-10,,,Indonesia,"Accessible and sustainable resources",Negative,"Deterioration alert",,,,,,,,,,,
"Continued Detention and Bail Denial of Social Media Influencer/Reality TV Personality","Event Summary
Authorities in Sierra Leone continue to detain Hawa Hunt, a social media influencer, after her bail was rescinded after failing to find two sureties with properties in Freetown&#8217;s CBD. Police arrested Hunt live on the reality TV show House of Stars on 22 December 2024, for criticising and using foul language against President Bio and First Lady Fatima Bio in a video clip from May 2023. She faces charges under the Cyber Security and Crime Act 2021, including disseminating insulting messages via a computer. Amnesty International and other rights organizations have called for her release, citing that the arrest, continued detention, and bail denial are politically motivated and among many cases where law is weaponised to supress dissent. Civil society groups have raised concerns over her physical and mental health, which is reportedly deteriorating during prolonged detention. Additionally, video recorded while in custody giving an apology is circulating online and some of her critical advocacy content has been deleted from social media platforms, revealing either self-censorship or intimidation. This has a chilling effect on the digital environment for CSOs, and freedom of speech. In the long run, it will cause to self-censorship among activists, discourage open expression and participation in public life, undermining transparency, accountability, and inclusive decision-making.
",2025-03-10,,,"Sierra Leone","Digital Environment Integrity and Security, Respect and protection of fundamental freedoms, Supportive legal and regulatory framework",Negative,"Deterioration alert",,,,,,,,,,,
"Absolución de dirigente comunal quien fue querellado por una compañía minera por el presunto delito de difamación.","Event Summary
On 4 February 2025, the Espinar Single Criminal Court  acquitted environmental defender Sergio Huamaní of the defamation complaint filed by Antapaccay Mining Company SA. The complaint stemmed from statements Huamaní made in 2023 regarding the mining company&#8217;s impacts in Espinar, in the Cusco region, as well as corruption cases involving the multinational Glencore.
Initially, in May 2024, Huamaní was convicted of aggravated defamation and sentenced by the court of first instance to one year of suspended imprisonment and ordered to pay 10,000 soles. However, in the second instance, his sentence was overturned, with the court ruling that his statements were protected by freedom of expression.
The ruling in favor of Sergio Huamaní can serve as a legal precedent to strengthen the defense of freedom of expression and the protection of social leaders against lawsuits intended to silence them.
&nbsp;
",2025-04-02,,,Peru,"Respect and protection of fundamental freedoms, Supportive legal and regulatory framework",Positive,"Improvement alert",,,,,,,,,,,
"New Legislation Grants Establishment, Arrest and Surveillance Authority to Foreign-Owned Private Security Companies","Event Summary
On February 18, 2025, the military regime in Myanmar announced  the enactment of the Private Security Service Law 2025, which allows foreign companies registered under the Myanmar Companies Law to apply for licenses to establish private security companies. The law grants these companies powers to arrest &#8220;offenders&#8221; in areas or buildings where they operate and hand them over to regime police. Additionally, private security companies must report any information affecting &#8220;state security&#8221; to regime police and acquire the necessary technology and equipment to carry out their security roles. The National Defense and Security Council has the power to approve the use of arms by these security companies. This new legislation passed without broad consultation and participation of civil society has sent chills across civil society, highlighting the regime&#8217;s increasing desire for control and the potential negative impacts this law will bring on public dissent and civil liberties. The law is likely to create a more hostile environment for civil society, as it empowers foreign-owned private security companies to act as extensions of the regime&#8217;s surveillance and enforcement apparatus, ready to stifle freedom of association and of expression.
",2025-04-02,,,Myanmar,"Respect and protection of fundamental freedoms, Supportive legal and regulatory framework",Negative,"Deterioration alert",,,,,,,,,,,
