Country,"Respect and protection of fundamental freedoms","Supportive legal and regulatory framework","Accessible and sustainable resources","Open and responsive State","Supportive public culture and discourses on civil society","Access to a secure digital environment","Last Modified",Permalink
Afghanistan,1.3,1.7,1.8,1.0,1.3,1.7,2026-02-24,https://eusee.hivos.org/document/afghanistan-country-focus-report/
Algeria,2.2,2,2,1.6,2,2.7,2025-12-16,https://eusee.hivos.org/document/algeria-rapport-national/
Argentina,3.3,3,2,2,2,2.3,2026-04-30,https://eusee.hivos.org/document/argentina-country-focus-report/
Bangladesh,2.1,2.7,3.0,2.2,2.3,3.3,2026-03-03,https://eusee.hivos.org/document/bangladesh-country-focus-report/
Benin,3.0,2.7,3.0,2.6,3.0,3.0,2026-02-16,https://eusee.hivos.org/document/benin-rapport-national/
Bhutan,3,3,3.3,2.6,3,3.7,2025-08-28,https://eusee.hivos.org/document/bhutan-country-focus-report/
Bolivia,3,2.3,2.3,2,2.3,2,2025-12-03,https://eusee.hivos.org/document/bolivia-informe-enfoque-pais/
Botswana,3.7,3.0,2.0,2.6,2.3,4.0,2025-12-10,https://eusee.hivos.org/document/botswana-country-focus-report/
Brazil,3.2,3.0,2.5,2.4,2.0,2.3,2026-04-14,https://eusee.hivos.org/document/brazil-country-focus-report/
Burundi,1.4,2.0,2.0,1.8,1.3,1.3,2026-01-21,https://eusee.hivos.org/document/burundi-rapport-national/
Cambodia,2.1,2.7,2.8,2.4,2.0,2.3,2025-12-15,https://eusee.hivos.org/document/cambodia-country-focus-report/
Chad,2.2,1.7,2.0,1.0,1.3,2.0,2026-04-20,https://eusee.hivos.org/document/chad-country-focus-report/
Chile,4.2,3.3,2.5,2.8,2.7,4.0,2025-08-26,https://eusee.hivos.org/document/chile-country-focus-report/
Colombia,2.6,3.0,3.0,3.0,2.0,2.7,2026-03-04,https://eusee.hivos.org/document/colombia-informe-enfoque-pais/
"Costa Rica",4.1,3.7,2.7,3,3,3,2025-12-24,https://eusee.hivos.org/document/costa-rica-country-focus-report/
Ecuador,2.9,3,2.5,2.6,2.0,2.7,2025-10-27,https://eusee.hivos.org/document/ecuador-informe-enfoque-pais/
"El Salvador",2.3,1.7,2.3,1.8,1.7,2.3,2025-12-15,https://eusee.hivos.org/document/el-salvador-country-focus-report/
Eswatini,1.7,2.7,2.8,2.2,2,3.3,2025-10-29,https://eusee.hivos.org/document/eswatini-country-focus-report/
Gabon,3.1,2.0,2.0,2.5,3.0,3.0,2026-02-02,https://eusee.hivos.org/document/gabon-rapport-national/
Ghana,3.4,3.7,3.0,3.4,3.0,3.0,2026-06-16,https://eusee.hivos.org/document/ghana-country-focus-report/
Guatemala,2.6,2.0,2.0,2.0,2.0,1.7,2026-05-11,https://eusee.hivos.org/document/guatemala-country-focus-report/
Haiti,2.3,2.3,2.3,2.4,2.0,2.3,2026-05-11,https://eusee.hivos.org/document/haiti-country-focus-report/
Honduras,2.5,2.6,2.8,2.0,2.0,2.0,2026-05-28,https://eusee.hivos.org/document/honduras-informe-enfoque-pais/
"Hong Kong",1.8,1.7,2.0,1.4,1.4,3.0,2025-12-03,https://eusee.hivos.org/document/hong-kong-country-focus-report/
India,2.2,2.7,2.5,2.6,2.0,2.3,2026-03-17,https://eusee.hivos.org/document/india-country-focus-report/
Indonesia,3,2.7,2.3,2.4,2.3,2,2025-10-17,https://eusee.hivos.org/document/indonesia-country-focus-report/
Jamaica,4.4,3.3,2.8,3.2,2.0,3.0,2025-11-08,https://eusee.hivos.org/document/jamaica-country-focus-report/
Jordan,2.5,2.0,2.5,2.8,2.3,2.7,2026-03-12,https://eusee.hivos.org/document/jordan-country-focus-report/
Kazakhstan,2.2,2.7,2.3,2.7,2.0,3.3,2026-06-04,https://eusee.hivos.org/document/kazakhstan-country-focus-report/
Kenya,2.5,3.3,2.0,2.4,2.0,2.7,2025-12-10,https://eusee.hivos.org/document/kenya-country-focus-report/
Kyrgyzstan,2.0,2.3,2.7,2.4,2.0,2.3,2026-07-21,https://eusee.hivos.org/document/kyrgyzstan-country-focus-report/
Lebanon,2.7,3,2.3,2.8,2.3,2.7,2026-01-06,https://eusee.hivos.org/document/lebanon-country-focus-report/
