post_title,creation_date,summary,Access to a secure digital,Accessible and sustainable,Affecting Topics,alert-country,alert-impact,alert-type,Civic and political,Civil Society Organisation,enabling-principle,New Contextual,New Violations,Open and responsive State,Respect and protection,Socioeconomic rights,Specific groups minority,Supportive legal,Supportive public culture,_uid
Economist Djelloul Slama placed in pre-trial detention after speaking critically about public policies/projects,2026-02-10,"Event SummaryAccording to several press publications, Algerian economist Djelloul Slama ""disappeared"" for a fortnight after an alleged arrest on 24 January 2026, before being remanded in custody by the Dar El-Beïda (Algiers) Magistrates' Court on 5 February 2026. The charges are not made public in the article, but the detention is presented as potentially linked to his media appearances criticising the official narrative on ""flagship"" economic projects, notably the exploitation of Gara Djebilet such as contested profitability, costs and technical constraints related to phosphorus.
This case has sparked reactions in the public sphere where it is seen as a deterrent to expert and critical voices  and as an indicator of restrictions on freedom of expression and public debate on economic policies.
&nbsp;",Internet Censorship,,,Algeria,Negative,Deterioration alert,,,"Digital Environment Integrity and Security,Respect and protection of fundamental freedoms",,,,Arbitrary Arrests and Detentions | Freedom of expression | Freedom of the press / media,,,,,706239c00c2323106763bebf130d4a0f
"Army detains 21 Bangladesh Times staff in Dhaka over protest coverage, releases them after questioning",2026-02-10,"Event SummaryOn 8 February 2026, army personnel entered the office of online news outlet Bangladesh Times in Dhaka’s Nikunja area and detained 21 staff members, including journalists, security guards, and office assistants, while they were working at night. According to the outlet’s editor-in-chief, the incident followed the publication of a video showing an individual criticising the army during a protest organised by Inqilab Moncho in Dhaka. He reported receiving a call from someone identifying himself as linked to a nearby army camp, warning the newsroom against publishing such content. The staff members were taken to an army camp for questioning and released approximately two hours later. A military official described the incident as a minor matter and did not provide detailed justification.
The military actions were publicly condemned by civil society actors, who characterised it as an attack on independent journalism at a sensitive political moment ahead of national elections, raising concerns about pressure on media organisations and the safety of journalists covering protests and security-related issues.",,,,Bangladesh,Negative,Deterioration alert,,,Respect and protection of fundamental freedoms,,,,Arbitrary Arrests and Detentions | Freedom of association | Freedom of the press / media,,,,,3965c81b5135336e72621e9d2a100026
Reports of Government pressure against Venevisión following coverage of opposition leader,2026-02-10,"Event SummaryOn 29 January 2026, journalists’ unions reported pressure and threats by government officials against the national television channel Venevisión. According to reports, during a weekly program, the Minister Diosdado Cabello made several references to Venevisión, which coincided with the channel’s expanded coverage of various events and public statements by different actors.
These statements have been described as pressure and a threat to freedom of expression. Additionally, Venevisión itself reported that, for reasons unknown to the broadcaster, its signal was no longer available on several free-to-air transmission systems. This occurred the day after Cabello’s statements.
Coverage of opposition political figures on national television media had been seen as a possible beginning of greater openness and freedom of expression in the media. However, the incidents reported by Venevisión regarding restrictions on its free-to-air signal suggest the continued existence of a pattern of restriction in Venezuela.
Denuncias de presión gubernamental contra Venevisión tras cobertura a líder opositora
El 29 de enero de 2026 gremios de periodistas denunciaron las presiones y amenazas hechas por funcionarios gubernamentales al canal de televisión nacional Venevisión. Según los reportes, durante un programa semanal, el ministro Diosdado Cabello hizo algunas referencias a Venevisión, que coincide con la apertura en la cobertura de dicho canal de diversos acontecimientos y declaraciones públicas hechas por diversos actores.
Estas declaraciones ha sido calificadas como una presión y amenaza contra la libertad de expresión. Asimismo, el propio canal Venevisión denunció que por motivos desconocidos por la operadora, la señal del canal no está presente en varios sistemas de transmisión abierta, esto ocurrido el día después de las declaraciones hechas por Cabello.
La cobertura a figuras políticas opositora en medios televisivos nacionales ha sido visto como el posible inicio de mayor apertura y libertad de expresión en los medios, no obstante, los hechos denunciados por Venevisión sobre la restricción a su señal abierta, sugieren aún la persistencia de un patrón de restricción en Venezuela.",,,,Venezuela,Negative,Deterioration alert,,,"Civic Culture and Public Discourses on Civil Society,Respect and protection of fundamental freedoms",,,,Freedom of expression | Freedom of the press / media | Non-physical Intimidation Tactics,,,,,2515d6474f25ebc02e12c6ce628b2133
Femicide of Asma Oumaïma and mobilisation of organisations for effective child protection,2026-02-10,"Event SummaryOn 26 January 2026, Asma Oumaïma, a teenager (minor), was killed in the wilaya of Chlef. This femicide sent shockwaves throughout the country and reignited the debate on the effectiveness of prevention and protection mechanisms against domestic violence, particularly when prior warnings exist. In the context where gender-based violence remains widespread and insufficiently prevented, several civil society organisations denounced the crime as ""preventable"" given the reported signs and the responsibility of the institutions supposed to protect minors at risk. In the days that followed, an advocacy movement took shape such as public appeals, statements by feminist and rights organisations to demand a coordinated response: improved reporting procedures, effective removal from danger, access to accommodation facilities, and legal reforms to reduce impunity and the trivialisation of violence.
Beyond the tragedy, the event highlights a central issue for enabling environment: the state's real capacity to respond to alerts, protect and be accountable, and the role of civil society in documenting, alerting and bringing about reforms in the public sphere.

Féminicide d'Asma Oumaïma et mobilisation des organisations pour une protection efficace des enfants
Le 26 janvier 2026, Asma Oumaïma, une adolescente (mineure), a été tuée dans la wilaya de Chlef. Ce féminicide a provoqué une onde de choc dans tout le pays et relancé le débat sur l'efficacité des mécanismes de prévention et de protection contre la violence domestique, en particulier lorsqu'il existe des signaux d'alerte préalables. Dans un contexte où les violences sexistes restent très répandues et insuffisamment prévenues, plusieurs organisations de la société civile ont dénoncé ce crime comme « évitable » compte tenu des signes annonciateurs et de la responsabilité des institutions censées protéger les mineurs en danger. Dans les jours qui ont suivi, un mouvement de sensibilisation s'est mis en place, avec des appels publics et des déclarations d'organisations féministes et de défense des droits pour exiger une réponse coordonnée : amélioration des procédures de signalement, éloignement effectif du danger, accès à des structures d'hébergement et réformes juridiques visant à réduire l'impunité et la banalisation de la violence.
Au-delà de la tragédie, cet événement met en lumière une question centrale pour Enabling Environment : la capacité réelle de l'État à réagir aux alertes, à protéger et à rendre des comptes, ainsi que le rôle de la société civile dans la documentation, l'alerte et la mise en œuvre de réformes dans la sphère publique.",,,,Algeria,Negative,Context to watch,,,"Respect and protection of fundamental freedoms,State openness and responsiveness to civil society",,Physical Violence,Changes in degree of government accountability to civil society,,,,,,a2c999c955aee43aa22542645772322c
Release of people detained for political reasons continues in Venezuela,2026-02-09,"Event SummaryThe process of mass releases of people deprived of their liberty for political reasons in Venezuela began on  8 January 2026 and is still ongoing. According to estimates by organizations working on this issue, as of 1 February 2026 up to 383 people have been released.
Among those released, notable cases include human rights defender Eduardo Torres, a lawyer with PROVEA, who was arbitrarily detained on 9 May 2026 and released in 31 January 2026, and defender Javier Tarazona of FUNDAREDES, who had been arbitrarily detained for four years and seven months until his release on 1 February 2026.
The release process has been slow but progressive, and despite the fact that more than 300 people have already benefited, records from Venezuelan organizations indicate that at least 600 people remain deprived of their liberty for political reasons. Likewise, a particular feature that has emerged during this process is that organizations have documented the appearance of new cases of people detained for political reasons that had not been previously recorded.
According to the explanations provided, this is because the families of these individuals chose not to report the detentions for fear of reprisals. As a result, it is not possible to determine an exact number of people deprived of their liberty for these reasons, underscoring the severity of the situation.
For the time being, restrictions remain in place for those who have been released, including limitations on making statements about their case or personal situation. Despite these restrictions, some statements by defender Javier Tarazona have circulated on social media, as he has taken part in gatherings calling for the release of the remaining people detained for the same reasons.
Excarcelaciones de personas detenidas por motivos políticos continúa en Venezuela
El proceso de excarcelaciones masivas de personas privadas de libertar por motivos políticos en Venezuela inició el pasado 8 de enero 2026 y aún continua. De acuerdo con estimaciones hechas por organizaciones con trabajo en la materia hasta el 1° de febrero han sido excarcelados hasta 383 personas.
Dentro de las personas que han sido excarceladas, destacan los casos de los defensores de derechos humanos Eduardo Torres, abogado de Provea, que fue detenido de forma arbitraria el pasado 9 de mayo de 2025 y liberado el pasado 31 de enero de 2026, y el defensor Javier Tarazona, de Fundaredes, quien tenía 4 años y 7 meses detenido de forma arbitraria hasta el pasado 1 de febrero de 2026.
El proceso de excarcelaciones ha sido lento pero progresivo y a pesar de que ya han sido beneficiadas más 300 personas, registro de organizaciones venezolanas dan cuenta de que aún continúan al menos 600 personas privadas de libertad por motivos políticos. Asimismo, y una particularidad que ha surgido durante este proceso, es que organizaciones han documentado la aparición de nuevos casos de personas detenidas por motivos políticos, que no había sido registradas con anterioridad.
De acuerdo con las explicaciones dadas, esto se debe a que los familiares de estas personas no quisieron reportar tales detenciones por temores a represalias, por lo que no es posible poder dar un número exacto de personas privadas de libertad por estos motivos, lo que da cuenta de la grave situación.
Por el momento, se mantiene las restricciones sobre las personas beneficiadas que incluyen restricciones a dar declaraciones sobre su caso o situación particular. Pese a estas restricciones, en redes sociales se han podido conocer algunas declaraciones del defensor Javier Tarazona, que ha participado en concentraciones por la liberación del resto de las personas detenidas por los mismos motivos.",,,,Venezuela,Positive,Improvement alert,,,Respect and protection of fundamental freedoms,,,,Improvement in the rights protection framework,,,,,c7b342676445bfa82351e260695ec355
Hong Kong Federation of Students disbands after 68 years citing &#8220;increasingly severe pressure&#8221; ending historic student movement organization,2026-02-09,"Event SummaryOn 5 February 2026, the Hong Kong Federation of Students (HKFS), established in 1958, announced dissolution after 68 years citing ""increasingly severe pressure"" on members and supporters. Isaac Lai, chief representative, confirmed the standing committee voted to initiate dissolution that morning. HKFS stated that ""as circumstances have changed, HKFS members and their allies have faced increasingly severe pressures in recent years. After careful consideration of all factors, HKFS has decided to draw a full stop today."" Lai noted that several HKFS members received threatening letters or were stalked, stating ""[w]e made this decision under circumstance of no alternative, with no other choice."" The HKFS signboard was removed from address on 5 February.
For over 68 years, HKFS played key role uniting students, engaging social issues, advocating reform: witnessing and participating in critical moments including supporting democratic movements in mainland China since 1980s, promoting Hong Kong democratic development, anti-national education movement, 2014 class boycott and the Umbrella Movement. Following the Umbrella Movement, systematic pressure intensified: 2015 disaffiliation wave reduced membership from eight to four institutions; recent years saw office forcefully taken over and members and families receiving harassment letters. Before disbandment, Lingnan University Students' Union was HKFS's only remaining active member. Last June, four Lingnan union members arrested for allegedly stealing HK$1 million from organization funds, with subsequent rumours of immediate dissolution denied. The disbandment follows broader pattern from the Hong Kong Baptist University Students' Union ordered suspended December over Wang Fuk Court fire condolences post; six CUHK college student unions suspended within 28 days December-January after police registration requirements; and multiple university student unions dissolved since 2020 National Security Law.",,Changes to the sustainability of funding,,Hong Kong,Negative,Deterioration alert,,,"Accessible and sustainable resources,Respect and protection of fundamental freedoms,Supportive legal and regulatory framework",,,,Freedom of association | Non-physical Intimidation Tactics,,,Changes affecting the environment for civil society actors to operate | Changes affecting the protection from interference in civil society actor’s operations,,3f995b80140ae4ff50d1164c7803f5b5
Civil Protest Against Rampant Crime and Violence in Arab Communities,2026-02-09,"Event SummaryTens of thousands of Jewish and Arab participants took part in a protest rally held in Tel Aviv on 31 January 2026, demonstrating against the rampant criminal violence in Arab communities in Israel. The rally was organized by the High Follow-Up Committee for Arab Citizens of Israel, alongside other civil society organizations. Participants called on the government and the police to act decisively to eradicate the phenomenon.
According to data from CSO Abraham Initiatives, 252 members of Israel’s Arab community were killed over the past year, approximately 84% of all homicide's cases recorded in Israel that year. The first month of 2026 has offered little encouragement, with 26 Arab citizens killed during January alone. Crime and violence in Arab communities have become the central issue preoccupying this public in Israel. Once largely confined to disputes among criminal groups, the violence has spread into wider social circles, leading to injury and killing of individuals simply for having family ties to someone involved in a criminal conflict. In some cases, even a quarrel between schoolchildren or a dispute over property can escalate to lethal violence.
Over the past decade, homicides in the Arab community have quadrupled. Estimates suggest that tens of thousands of illegal firearms are present in Arab localities in Israel, and residents report nightly shootings. Israeli police have failed in curbing crime. Some argue that police neglect crime and violence as long as it is confined to the boundaries of Arab towns and villages. National Security Minister Itamar Ben-Gvir, a far-right politician, frequently speaks of “restoring governance” yet during his tenure, crime has worsened and case clearance rates remain low.
Arab citizens of Israel are reeling from these events. People fear for their own safety and that of their children. This fear further impedes efforts to curb the phenomenon, as many are reluctant to file complaints or testify in court. Prior to the Tel Aviv rally, a general strike was declared in Arab cities on 22 January 2026, which was accompanied by a demonstration of tens of thousands in the city of Sakhnin.
This represents the broadest civil mobilization to date within the Arab public against the surge of violent crime. Many across Israeli society - Arab and Jewish alike - including a wide range of civil society organizations, support the initiative and hope it will lead to a broad civic and governmental campaign against crime and the criminal organizations that have amassed immense power in recent years.",,,,Israel,Positive,Context to watch,,,Respect and protection of fundamental freedoms,,Physical Violence,,Freedom of assembly,,,,,035c9244e42d2ce18e473d4331cfbca9
Israel Withdraws from the Open Government Partnership (OGP),2026-02-09,"Event SummaryIsrael is withdrawing from its membership in the Open Government Partnership (OGP), which it joined upon the initiative’s establishment in 2011. On 1 February 2026, the government adopted Foreign Minister Gideon Sa’ar and Economy Minister Nir Barkat’s recommendation to leave the initiative arguing that its leaders have turned it into a political tool for attacking Israel.
The OGP is an international partnership comprising dozens of countries and involving a wide range of civil society organizations, including Israeli CSOs. Its aim is to promote transparency, accountability, public participation, and technological innovation in government systems; to strengthen public trust through involvement in decision-making processes; and to improve access to information and public services - among other means, through tools for monitoring of government decisions and actions.
Over the past decade, the Israeli government adopted a variety of “open government” measures. Among them were a three-year national action plan for 2023–2025 and the establishment of an advisory forum that included government representatives alongside Israeli CSOs. Dr. Roi Peled, a legal scholar at the College of Management and one of the figures who pushed for Israel to join the initiative while serving as CEO of the Movement for Freedom of Information, rejects the ministers’ explanation. He argues that the Israeli government is withdrawing from international forums because it does not wish to expose itself to criticism of its decisions and actions or to engage with such criticism substantively - whether the claims raised are accurate or not.
The move to withdraw from the OGP coincides with other steps currently being considered by the government, including withdrawal from the Paris Agreements and International Climate Accords. These steps are reportedly being considered due to pressure from the U.S. administration, and what Environmental Protection Minister Idit Silman (Likud) describes as international frameworks that exploit environmental discourse for political purposes and to harm Israel’s global standing. The initiative is being advanced in direct opposition to the position of leading environmental organizations in Israel, such as Life and Environment.",,,,Israel,Negative,Deterioration alert,,,"Civic Culture and Public Discourses on Civil Society,State openness and responsiveness to civil society",,,Changes in degree of government accountability to civil society | Changes in degree of participation of and engagement with civil society | Changes in degree of transparency of government / freedom of information,,,,,Negative discourses on CSOs,9fbf59285923d5dac86120664301b314
Constitutional Amendment extending presidential term limit: State response to opposition mobilisation,2026-02-20,"Event SummaryOn 10 February 2026, Speaker of Parliament Hon. Jacob Mudenda announced that the Zimbabwean cabinet had approved a controversial constitutional amendment bill – Constitution of Zimbabwe Amendment (No 3), Bill 2026. This proposed legislation aims to extend the presidential term from five to seven years and allow Parliament to elect the President, rather than the public directly. The Minister of Justice, Hon. Ziyambi Ziyambi, is championing this amendment, which is aligned with the resolutions of the ruling party, Zanu PF.
The government defends these changes by arguing that they will enhance political stability and ensure the continuity of policies, thus enabling development programmes to be completed effectively. However, critics contend that this move undermines democratic legitimacy by placing the authority to elect the President in the hands of Parliament, effectively side-lining the electorate.
In the wake of this announcement, tensions escalated, culminating in an armed police presence outside the Milton Park offices of former Finance Minister Tendai Biti on 16 February 2026. Mr. Biti, who serves as the convener of the Constitution Defenders Forum (CDF), has emerged as a prominent critic of Constitutional Amendment Bill No. 3, recently approved in principle by the Cabinet. He argues that the amendments threaten democracy by altering existing term-limit provisions, specifically proposing to extend the terms of both the President and Parliament from 2028 to 2030. This has heightened fears among opponents that the changes will allow for an erosion of civic participation and accountability in Zimbabwean governance.",,,,Zimbabwe,Negative,Early warning alert,,,State openness and responsiveness to civil society,,,Changes in degree of government accountability to civil society,,,,,,84f1ad169aff11ef9fafb8060fc254fc
Public hearings scheduled for controversial large-scale ski resort,2026-02-20,"Event SummaryAt the end of January 2026, the Ministry of Tourism and Sport of the Republic of Kazakhstan announced to hold public hearings on the construction of a large-scale ski resort in the Kok-Zhailau ravine in Ile-Alatau National Park, near Almaty. The hearings are scheduled for April 2026 and follow repeated conflict between developers and environmentalists about the project. Although President Tokayev had banned construction in 2019 after public protests, the project reemerged in 2025 under a new name—the Almaty Mountain Cluster (“Almaty SuperSki”). In September 2025, an updated master plan was approved, proposing to develop 1,000 hectares of the park, build 60 km of ski slopes, and add commercial facilities, with projected annual revenues of $1 billion.
Civil society has strongly opposed the plan, citing a lack of transparency and public exclusion from decision-making. Scientists and activists warn of irreversible environmental damage: destruction of habitats for Red Book species like the snow leopard and Tien Shan bear, and loss of unique Sievers apple forests—the genetic ancestor of almost all domesticated apples. Critical risks include threats to Almaty’s water supply, as river water would be diverted for snowmaking, worsening air quality, and increased social inequality, as an elite resort would exclude most citizens.
In order to protect the Kok-Zhailau mountains and ensure and inclusive and participatory process that responds to citizens’ needs and concerns, civil society should come together, document procedural violations to challenge illegal decisions on budget and land use, and leverage international support through the Kazakhstan-EU human rights dialogue as well as through alternative assessment of the project’s expected impact by international experts. An independent review of the project through a Strategic Environmental Assessment is needed to ensure transparency in the planning and implementation of the project. In this regard, the public hearings in April 2026 will be an important test of the authorities’ and business’ willingness to engage with citizens and civil society in an inclusive and participatory manner.",,,,Kazakhstan,Negative,Context to watch,,,State openness and responsiveness to civil society,,,Changes in degree of participation of and engagement with civil society,,,,,,555f0811de12a8002235c59f7ed5c4d2
