Title,Date,Content,"Access to a secure digital","Accessible and sustainable","Affecting Topics","Type of organisations",Countries,Impact,"Alert types","Civic and political","Civil Society Organisation","Enabling principles","New Contextual","New Violations","Open and responsive State","Respect and protection","Socioeconomic rights","Specific age groups","Specific groups minority","Supportive legal","Supportive public culture","Permalink Path",Permalink
"National debate on the reinstatement of the death penalty in Côte d’Ivoire and civil society’s position",2026-08-18,"Following a rise in crime in Côte d’Ivoire, a public debate has emerged over whether the death penalty should be reinstated, having been abolished by the 2000 Constitution and reaffirmed as abolished under the 2016 Constitution. On 16 July 2026, member of Parliament Naya Jarvis Zamblé proposed opening a national debate on the reintroduction of the death penalty in Côte d’Ivoire for the most heinous crimes. In a context where the judicial system has certain weaknesses, the reintroduction of the death penalty could increase the risk of miscarriages of justice or decisions perceived as arbitrary, potentially undermining public trust in the judiciary.",,,,,"Côte d'Ivoire",Negative,"Context to watch",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework",,,,"Accountability for human rights violations",,,,,,/event/national-debate-on-the-reinstatement-of-the-death-penalty-in-cote-divoire-and-civil-societys-position/,https://events-eusee.hivos.org/event/national-debate-on-the-reinstatement-of-the-death-penalty-in-cote-divoire-and-civil-societys-position/
"Closure of the Afiuni case brings 16 years of restrictions and judicial persecution to an end",2026-08-18,"On 7 August 2026, relatives of Judge María Lourdes Afiuni reported that they had received a judicial notification granting her full freedom due to the expiration of her sentence, the termination of her criminal liability, and the definitive closure of the judicial proceedings against her after 16 years.
Judge Afiuni was detained without a judicial warrant on 10 December 2009, in retaliation for granting bail to businessman Eligio Cedeño. His detention had been deemed arbitrary at the time by the United Nations Working Group on Arbitrary Detention.
Following her arrest, then-President Hugo Chávez publicly called for her prosecution and a 30-year prison sentence—the maximum penalty established by the Venezuelan Constitution—while also accusing her of corruption. Judge Afiuni’s case is illustrative of the lack of judicial independence in Venezuela and the use of the judiciary as a tool of repression.
During her time in detention, there were numerous reports concerning the inhumane conditions of her imprisonment and torture. Judge Afiuni herself later revealed that she had been subjected to sexual violence. The sexual abuse she suffered resulted in a forced pregnancy, which ended in a miscarriage.
Her detention was deemed arbitrary by the United Nations Working Group on Arbitrary Detention, which called on the Venezuelan State to release her immediately in October 2010. Likewise, national and international organisations spoke out against the abuses and violations she endured throughout the proceedings.",,,,,Venezuela,Positive,"Improvement alert",,,"1. Respect and protection of fundamental freedoms",,,,"Accountability for human rights violations | HRD releases or dismissal of cases",,,,,,/event/closure-of-the-afiuni-case-brings-16-years-of-restrictions-and-judicial-persecution-to-an-end/,https://events-eusee.hivos.org/event/closure-of-the-afiuni-case-brings-16-years-of-restrictions-and-judicial-persecution-to-an-end/
"The Referendum on the New Constitution: a campaign of attacks and intimidation targeting human rights defenders who question the legality of the process, including through the use of fake profiles on digital platforms.",2026-08-18,"On 12 August 2026, on the occasion of the anniversary of the Guinean Human Rights League, its President denounced the government’s decision to call a referendum on the new Constitution as “illegal” and called for the law to be respected. His position is based, among other things, on Article 9(2) of Law No. 12/2026 of 16 June, which provides for a clear separation between the timing of a referendum and elections for the country’s national or local authorities. With general elections scheduled for 6 December, the decision to hold a referendum at this time therefore raises serious questions about its legality.
The League also argued that changes to the Constitution—particularly a document that defines how the State is organised, limits government power, and protects citizens’ rights and freedoms—should not be rushed or shaped around particular individuals, interests, or short-term political circumstances.
Later that same day, the League’s President, Abubacar Turé, was publicly attacked through a fake Facebook profile using the name “Eng. Santos Pereira” and a photograph of former President Umaro Sissoco Embaló. The post accused Turé of acting on instructions from the PAIGC and claimed that his public statement was simply the fulfilment of those instructions. It also described him as a “small fry” and a political delinquent who was unable to distinguish partisan political convictions from the independent mission of a human rights organisation, and urged people to disregard his statements as nonsense.
The incident is consistent with a broader pattern of intimidation and public attacks against human rights defenders and civil society actors who criticise alleged unlawful or abusive actions by the authorities. Those who publicly raise such concerns are frequently subjected to personal attacks, defamation and attempts to discredit their work, rather than having their concerns addressed through legal or institutional channels.","Social media attacks",,,,"Guinea Bissau",Negative,Event,,,"1. Respect and protection of fundamental freedoms | 6. Access to a secure digital environment",,,,"Freedom of expression | Non-physical Intimidation Tactics",,,,,,/event/the-referendum-on-the-new-constitution-a-campaign-of-attacks-and-intimidation-targeting-human-rights-defenders-who-question-the-legality-of-the-process-including-through-the-use-of-fake-profiles-on/,https://events-eusee.hivos.org/event/the-referendum-on-the-new-constitution-a-campaign-of-attacks-and-intimidation-targeting-human-rights-defenders-who-question-the-legality-of-the-process-including-through-the-use-of-fake-profiles-on/
"Forced Dissolution of Lingnan University Students’ Union and the Eradication of Campus Civic Space",2026-08-18,"On 7 August 2026, the Lingnan University Students’ Union (LingU SU) announced its official disbandment, ending 59 years of independent student representation. In its dissolution statement, the union cited profound ""changes in the environment inside and outside the campus."" A former vice-president of the union revealed that the organisation had been functionally paralysed over the past year and was completely unable to organise student activities. Furthermore, university management had stonewalled the union, demonstrating an active unwillingness to communicate or acknowledge their representative status.
Crucially, this dissolution follows severe legal harassment against LingU SU leadership. In June 2025, four current and former LingU SU members—including the Vice-President, who simultaneously served as the chair of the Hong Kong Federation of Students (HKFS)—were arrested for alleged ""theft"" and ""conspiracy to steal"" union funds. HKFS disbanded in February 2026.",,,"Specific age groups’ rights","Cultural and Artistic Organisations | National formal and informal organisations","Hong Kong",Negative,Event,,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework",,,,"Freedom of association | Freedom of expression",,"Youth and students’ Rights",,"Suspension or Dissolution of Organizations",,/event/forced-dissolution-of-lingnan-university-students-union-and-the-eradication-of-campus-civic-space/,https://events-eusee.hivos.org/event/forced-dissolution-of-lingnan-university-students-union-and-the-eradication-of-campus-civic-space/
"Arrest and release two days later of two civil society actors in Kimpese",2026-08-18,"On 12 August 2026, two civil society actors were arrested: Mr. Raymond Tona Tona, President of the Civil Society Consultation Framework – Forces Vives of Songololo Territory, and Mr. Luzayadio Nsungani, President of the Association of Persons Living with Disabilities/Kimpese. They were arrested at the instigation of officials from the National Electricity Company (SNEL) in Kimpese and were transferred on 13 August 2026 to the Mbanza-Ngungu High Court.
SNEL had filed a complaint against the two civil society actors, unjustly accusing them of incitement to disobedience and incitement to rebellion for carrying out their role in protecting the rights of the population of Kimpese. In particular, they had called for transparent and fair electricity tariffs before electricity bills were redistributed in Kimpese. Source
On 14 August 2026, the two detained civil society actors were released.
&nbsp;",,,,,"Democratic Republic of the Congo",Negative,Event,,,"1. Respect and protection of fundamental freedoms | 5. Supportive public culture and discourses on civil society",,,,"Arbitrary Arrests and Detentions | HRD releases or dismissal of cases",,,,,,/event/arrest-and-release-two-days-later-of-two-civil-society-actors-in-kimpese/,https://events-eusee.hivos.org/event/arrest-and-release-two-days-later-of-two-civil-society-actors-in-kimpese/
"Arrest of two civil society actors, in Kimpese, Kongo Central Province",2026-08-18,"Two civil society actors, Mr. TONA TONA Raymond, President of the Civil Society Consultation Framework/Forces Vives of Songololo Territory, and Mr. LUZAYADIO NSUNGANI, President of the Association of Persons Living with Disabilities in Kimpese, were arrested on Wednesday, 12 August 2026, at around 2:00 p.m. in Kimpese, Kongo Central Province.
According to information received by VSV, several civil society organisations in Kimpese held a meeting on Saturday, 8 August 2026, to discuss the issue of flat-rate billing by the National Electricity Company (SNEL) for the population’s electricity consumption. During the meeting, the civil society actors decided, among other things, that the population should not accept the electricity bills for July 2026 and should return them to the sender.
The two civil society actors were subsequently summoned to the office of the Congolese National Police (PNC) in Kimpese, where they were questioned. Mr. TONA TONA was questioned on Wednesday, 12 August 2026, while Mr. LUZAYADIO was questioned the previous day, Tuesday, 11 August 2026. They were then arrested at the time indicated above at the PNC Territorial District Headquarters in Kimpese.
Following their arrest, they were taken to the PNC camp, where they remain detained as of the time of writing.",,,,,"Democratic Republic of the Congo",Negative,Event,,,"1. Respect and protection of fundamental freedoms",,,,"Arbitrary Arrests and Detentions | Freedom of assembly",,,,,,/event/arrest-of-two-civil-society-actors-in-kimpese-kongo-central-province/,https://events-eusee.hivos.org/event/arrest-of-two-civil-society-actors-in-kimpese-kongo-central-province/
"Verdict scheduled for landmark subversion case against disbanded Hong Kong Alliance leaders",2026-08-18,"The High Court has formally scheduled its verdict for 21 August 2026 at 10:00 am in the landmark National Security Law (NSL) case HKSAR v. Hong Kong Alliance in Support of Patriotic Democratic Movements of China, Lee Cheuk-yan, and Chow Hang-tung (Case No: HCCC 155/2022). The disbanded organisation and its former leaders are charged with ""incitement to subversion of state power"" under Articles 22 and 23 of the NSL. The verdict will be handed down by a panel of designated National Security judges: Justices Alex Lee Wan-tang, Johnny Chan Chung-heng, and Anna Lai Yuen-kee.
By the date of the verdict, Lee Cheuk-yan and Chow Hang-tung will have been remanded in custody for nearly 1,800 days (almost five years) since their initial charges and detention in September 2021. The prosecution centres on the Alliance's decades-long peaceful advocacy, including the organisation of the annual Victoria Park candlelight vigils commemorating the 1989 Tiananmen Square crackdown and its core political platform calling for the end of one-party rule in China. If convicted, the defendants face maximum penalties of up to life imprisonment.",,,"Civic and political engagement","National formal and informal organisations","Hong Kong",Negative,"Context to watch","Civic and Electoral Rights",,"1. Respect and protection of fundamental freedoms",,,,"Arbitrary Arrests and Detentions | Freedom of assembly | Freedom of association | Freedom of expression",,,,,,/event/verdict-scheduled-for-landmark-subversion-case-against-disbanded-hong-kong-alliance-leaders/,https://events-eusee.hivos.org/event/verdict-scheduled-for-landmark-subversion-case-against-disbanded-hong-kong-alliance-leaders/
"State threats and aggressive intimidation against the Hong Kong Journalists Association ahead of elections",2026-08-17,"On 7 August 2026, the day before the Hong Kong Journalists Association (HKJA) Executive Committee election, Secretary for Security Chris Tang launched a severe verbal attack against the union. Tang accused unnamed groups of ""abusing the name of trade unions"" and issued a direct warning: ""If you endanger national security, we will definitely nail you down"" (如危害國安一定會釘死你). He further criticised the HKJA for declining to make its candidate list public prior to the vote, calling it a ""black-box"" operation.
In response, HKJA chairperson Selina Cheng clarified that the decision to conceal the candidate list from the public before the meeting was made strictly to protect candidates from intense intimidation and harassment campaigns. She confirmed that the full executive list is legally submitted to the Registry of Trade Unions annually following the election. Despite the threats, the HKJA held its election on the morning of 8 August 2026 in a closed-door meeting attended by approximately 30 members. Five executive committee members were elected. During the meeting, suspected plainclothes police were observed monitoring the venue from vehicles outside. When questioned by the press about whether law enforcement possessed concrete evidence of national security crimes against the HKJA, Tang stated that his warning was targeted at ""everyone,"" reiterating that police would ""use all methods to find evidence"" and pursue arrests and prosecutions.",,,"Socioeconomic rights","Economic interest representation | National formal and informal organisations","Hong Kong",Negative,Event,,,"1. Respect and protection of fundamental freedoms | 5. Supportive public culture and discourses on civil society",,,"Changes in degree of government accountability to civil society | Changes in degree of participation of and engagement with civil society","Freedom of association | Non-physical Intimidation Tactics","Labor Rights",,,,"Negative discourses on CSOs",/event/state-threats-and-aggressive-intimidation-against-the-hong-kong-journalists-association-ahead-of-elections/,https://events-eusee.hivos.org/event/state-threats-and-aggressive-intimidation-against-the-hong-kong-journalists-association-ahead-of-elections/
"Internal leadership dispute within HRDC raises concerns over coalition governance, legitimacy and the integrity of human rights advocacy in Malawi",2026-08-17,"The Human Rights Defenders Coalition (HRDC), one of Malawi's prominent platforms for human rights and democratic governance advocacy, is experiencing a prolonged internal leadership and governance dispute involving competing claims over the legitimacy of its current leadership, the need to convene an Annual General Meeting (AGM), financial accountability, and the authority to speak on behalf of the coalition.
Concerns became public in February 2026, when members from different regions challenged the failure to hold an AGM since 2019 and questioned the legitimacy of the provisional leadership headed by Mr. Michael Kaiyatsa. The concerned members called for an AGM to elect leadership and also raised concerns regarding access to organisational and financial information.
The dispute subsequently escalated into legal proceedings. On 27 April 2026 an HRDC ad hoc committee had taken the HRDC leadership to court, seeking judicial intervention and calling for an AGM and disclosure of donor funding.
The dispute remains unresolved. On 23 July 2026, the High Court proceedings resulted in competing interpretations of the outcome, with the parties subsequently disagreeing publicly over whether the court had effectively rejected the challenge to the current leadership or had instead identified governance gaps requiring mediation.
The continuing conflict risks weakening HRDC's institutional credibility, internal cohesion and capacity to provide coordinated human rights advocacy.",,,,,Malawi,Negative,Event,,,"1. Respect and protection of fundamental freedoms | 5. Supportive public culture and discourses on civil society",,,,"Freedom of association",,,,,,/event/internal-leadership-dispute-within-hrdc-raises-concerns-over-coalition-governance-legitimacy-and-the-integrity-of-human-rights-advocacy-in-malawi/,https://events-eusee.hivos.org/event/internal-leadership-dispute-within-hrdc-raises-concerns-over-coalition-governance-legitimacy-and-the-integrity-of-human-rights-advocacy-in-malawi/
"Government-led forced evictions in Wabari, Mogadishu trigger civilian protest and alleged use of live ammunition",2026-08-17,"On 13 August 2026, residents of Wabari district in Mogadishu protested against forced evictions and the demolition of homes and businesses. Residents said families were being removed from their homes without adequate alternatives and called for an end to the demolitions. Local reporting indicated that government security forces used live ammunition against residents resisting the evictions, with protesters reporting that at least one civilian was wounded and taken to hospital.
The incident has intensified concerns over government-led land demolitions and forced displacement in Mogadishu. Residents and opposition figures have accused authorities of unlawful evictions and land grabbing, while the wider issue has generated repeated protests and political tensions in the capital.
The event is significant for the enabling environment because it concerns the rights of affected communities to housing, security and peaceful civic participation, as well as the state's response to citizens protesting decisions that directly affect their homes and livelihoods.",,,"Civic and political engagement","National formal and informal organisations",Somalia,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms",,,"Changes in degree of government accountability to civil society | Changes in degree of participation of and engagement with civil society","Freedom of assembly","Urban and Housing Rights",,,,,/event/government-led-forced-evictions-in-wabari-mogadishu-trigger-civilian-protest-and-alleged-use-of-live-ammunition/,https://events-eusee.hivos.org/event/government-led-forced-evictions-in-wabari-mogadishu-trigger-civilian-protest-and-alleged-use-of-live-ammunition/
